Project ID,Record ID,Title,Datasets Used,is_flagged,opus_substantive_domains,opus_linkage_mode,opus_analytical_purpose,opus_primary_domain,sonnet_substantive_domains,sonnet_linkage_mode,sonnet_analytical_purpose,sonnet_primary_domain,domain_match,linkage_match,purpose_match,all_layers_match,review_status,preferred_model,final_domain,final_linkage,final_purpose,review_notes
2020/001,2020/001,How does tax affect incorporation and business outcomes?,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",False,Business & Productivity; Public Finance & Taxation,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,False,True,True,False,,,,,,
2020/012,2020/012,Wage progression and firm productivity,"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE 
Intellectual Property Office: Patents, Designs and Trade Marks 
Department for Education: National Department for Business, Energy and Industrial Strategy: Employer Skills Survey  & Workplace Employment Relations Survey 
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",False,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Outcome Linkage,Labour Market & Employment,Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,Labour Market & Employment,False,True,True,False,,,,,,
2020/014,2020/014,UK Competition Indicators,"Office for National Statistics: Business Structure Database, Annual Respondents Database , Annual Respondents Database X , Longitudinal Inter-Departmental Business Register, Business Register Employment Survey, Business Expenditure on Research and Development, Annual Business Survey, Producer Price Index  & Business Impact of COVID-19 Survey  
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",False,Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,False,True,True,False,,,,,,
2020/023,2020/023,"The determinants of performance-pay utilisation by firms and its consequences for firm behaviour, performance, and employee outcomes","Office for National Statistics: Business Structure Database, Annual Business Survey, Workplace Employment Relations Survey, International Trade in Services, Annual Survey of Hours and Earnings  & Wealth and Assets Survey ",False,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Outcome Linkage,Labour Market & Employment,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,False,True,True,False,,,,,,
2020/024,2020/024,Assessing the impact of UK Enterprise Zones,"Office for National Statistics: Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database  & Quarterly Labour Force Survey ",False,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,False,True,True,False,,,,,,
2020/027,2020/027,COVID-19 Infection Survey,"Office for National Statistics: ONS COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data 
Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data  
Office for National Statistics / University of Oxford: Covid-19 Infection Survey with National Immunisation Management Service, Covid-19 Infection Survey linked with Death Occurrences England and Wales 
Office for National Statistics / NHSD / University of Oxford: COVID-19 Infection Survey linked with Public Health Research Database  ",False,COVID-19 & Pandemic; Health & Social Care,Multi-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic,COVID-19 & Pandemic,Multi-Domain Linkage,Descriptive Monitoring; Policy Evaluation / Impact Analysis,COVID-19 & Pandemic,False,True,False,False,,,,,,
2020/033,2020/033,Education and Identity,Office for National Statistics: Quarterly Labour Force Survey ,False,Education & Skills; Labour Market & Employment,Single-Dataset,Descriptive Monitoring,Education & Skills,Education & Skills,Single-Dataset,Outcome Linkage,Education & Skills,False,True,False,False,,,,,,
2020/043,2020/043,Corporate response to energy-efficiency agreements: evidence from the UK manufacturing industry,"Office for National Statistics: Business Structure Database, Annual Respondent Database X, Annual Business Survey  
Department for Business, Energy and Industrial Strategy: Quarterly Fuels Inquiry ",False,Environment & Agriculture; Business & Productivity,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,Business & Productivity,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,False,True,True,False,,,,,,
2020/052,2020/052,Ethic inequalities in the UK,"Office for National Statistics: Annual Population Survey:  Wellbeing, Labour Force Survey , Labour Force Survey   & Labour Force Survey  ",False,"Gender, Race & Ethnicity",Within-Domain Linkage,Inequality / Disparities Analysis,"Gender, Race & Ethnicity","Gender, Race & Ethnicity; Labour Market & Employment",Within-Domain Linkage,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",False,True,True,False,,,,,,
2020/063,2020/063,Identifying flare ups of the COVID-19 infection across the UK,"Office for National Statistics: COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data, 2020 Wave 1 Labour Force Survey  
UCAS: Universities and Colleges Admissions Service Data 
Office for National Statistics / University of Oxford: COVID-19 Infection Survey ",False,COVID-19 & Pandemic; Health & Social Care,Multi-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic,COVID-19 & Pandemic,Multi-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic,False,True,True,False,,,,,,
