claim_id,origin,log_item,claim,mapped_check,status,reason
V9.Q001,v2 supplied checklist (governing log unavailable),1.4,S2T001 None {'delta': 'delta_B'} part=2: 0.004117088549351349,V9.Q001,PASS,S2T001 None {'delta': 'delta_B'}
V9.Q002,v2 supplied checklist (governing log unavailable),1.4,S2T001 None {'delta': 'delta_min'} part=2: -0.006490658978949588,V9.Q002,PASS,S2T001 None {'delta': 'delta_min'}
V9.Q003,v2 supplied checklist (governing log unavailable),2.4,"S3T002 None {'delta': 'delta_min'} part=None: ['-0.04266825138963548', '-0.09028046253808193', '-0.002141124278556386']",V9.Q003,PASS,S3T002 None {'delta': 'delta_min'}
V9.Q004,v2 supplied checklist (governing log unavailable),2.4,"S3T011 None {'delta': 'delta_min'} part=None: ['0.04169778425221149', '0.0005992244570877603', '0.07637533196699833']",V9.Q004,PASS,S3T011 None {'delta': 'delta_min'}
V9.Q005,v2 supplied checklist (governing log unavailable),S1.5,"S2T007 None {'delta': 'delta_min'} part=None: ['-0.11455822957777184', '-0.33012555322232656', '0.0']",V9.Q005,PASS,S2T007 None {'delta': 'delta_min'}
V9.Q006,v2 supplied checklist (governing log unavailable),F.9,"S3T002 None {'panel': 'ABC'} part=None: ['0.292', '0.224', '0.355']",V9.Q006,PASS,S3T002 None {'panel': 'ABC'}
V9.Q007,v2 supplied checklist (governing log unavailable),F.9,"S3T012 None {'panel': 'ABC'} part=None: ['0.289', '0.207', '0.366']",V9.Q007,PASS,S3T012 None {'panel': 'ABC'}
V9.Q008,v2 supplied checklist (governing log unavailable),S1.8,S3T001 None {'panel': 'ABC'} part=0: 0.526,V9.Q008,PASS,S3T001 None {'panel': 'ABC'}
V9.Q009,v2 supplied checklist (governing log unavailable),S1.8,S3T007 None {'panel': 'ABC'} part=0: 0.462,V9.Q009,PASS,S3T007 None {'panel': 'ABC'}
V9.Q010,v2 supplied checklist (governing log unavailable),S1.8,S3T008 None {'panel': 'ABC'} part=0: 0.292,V9.Q010,PASS,S3T008 None {'panel': 'ABC'}
V9.Q011,v2 supplied checklist (governing log unavailable),S1.8,"S3T007 None {'delta': 'delta_min'} part=None: ['-0.027', '-0.096', '0.010']",V9.Q011,PASS,S3T007 None {'delta': 'delta_min'}
V9.Q012,v2 supplied checklist (governing log unavailable),S1.8,"S2T001 None {'panel': 'ABC'} part=None: ['0.512', '0.300', '0.691']",V9.Q012,PASS,S2T001 None {'panel': 'ABC'}
V9.Q013,v2 supplied checklist (governing log unavailable),S1.8,"S2T007 None {'panel': 'ABC'} part=None: ['0.654', '0.386', '0.843']",V9.Q013,PASS,S2T007 None {'panel': 'ABC'}
V9.Q014,v2 supplied checklist (governing log unavailable),F.7,"S2T001 None {'delta': 'delta_A'} part=None: ['-.044', '-.181', '.104']",V9.Q014,PASS,S2T001 None {'delta': 'delta_A'}
V9.Q015,v2 supplied checklist (governing log unavailable),F.7,"S2T001 None {'delta': 'delta_B'} part=None: ['-.081', '-.174', '.004']",V9.Q015,PASS,S2T001 None {'delta': 'delta_B'}
V9.Q016,v2 supplied checklist (governing log unavailable),F.7,"S2T001 None {'delta': 'delta_C'} part=None: ['-.060', '-.189', '.070']",V9.Q016,PASS,S2T001 None {'delta': 'delta_C'}
V9.Q017,v2 supplied checklist (governing log unavailable),F.7,"S2T001 None {'delta': 'delta_min'} part=None: ['-.081', '-.202', '-.006']",V9.Q017,PASS,S2T001 None {'delta': 'delta_min'}
V9.Q018,v2 supplied checklist (governing log unavailable),2.2,"S3T011 None {'delta': 'delta_A'} part=None: ['.088', '.039', '.144']",V9.Q018,PASS,S3T011 None {'delta': 'delta_A'}
V9.Q019,v2 supplied checklist (governing log unavailable),2.2,"S3T011 None {'delta': 'delta_B'} part=None: ['.042', '.001', '.083']",V9.Q019,PASS,S3T011 None {'delta': 'delta_B'}
V9.Q020,v2 supplied checklist (governing log unavailable),2.2,"S3T011 None {'delta': 'delta_C'} part=None: ['.073', '.023', '.124']",V9.Q020,PASS,S3T011 None {'delta': 'delta_C'}
V9.Q021,v2 supplied checklist (governing log unavailable),2.2,"S3T012 None {'delta': 'delta_A'} part=None: ['.041', '-.010', '.096']",V9.Q021,PASS,S3T012 None {'delta': 'delta_A'}
V9.Q022,v2 supplied checklist (governing log unavailable),2.2,"S3T012 None {'delta': 'delta_B'} part=None: ['.014', '-.035', '.068']",V9.Q022,PASS,S3T012 None {'delta': 'delta_B'}
V9.Q023,v2 supplied checklist (governing log unavailable),2.2,"S3T012 None {'delta': 'delta_C'} part=None: ['.108', '.051', '.171']",V9.Q023,DISCREPANCY,S3T012 None {'delta': 'delta_C'}
V9.Q024,v2 supplied checklist (governing log unavailable),S1.8,"S3T008 None {'delta': 'delta_A'} part=None: ['-.109', '-.183', '-.034']",V9.Q024,PASS,S3T008 None {'delta': 'delta_A'}
V9.Q025,v2 supplied checklist (governing log unavailable),S1.8,"S3T008 None {'delta': 'delta_B'} part=None: ['-.114', '-.182', '-.046']",V9.Q025,PASS,S3T008 None {'delta': 'delta_B'}
V9.Q026,v2 supplied checklist (governing log unavailable),S1.8,"S3T008 None {'delta': 'delta_min'} part=None: ['-.114', '-.191', '-.059']",V9.Q026,PASS,S3T008 None {'delta': 'delta_min'}
V9.Q027,v2 supplied checklist (governing log unavailable),G.6,S2T007 None {'delta': 'delta_min'} part=1: -.330,V9.Q027,PASS,S2T007 None {'delta': 'delta_min'}
V9.Q028,v2 supplied checklist (governing log unavailable),G.6,S2T008 None {'delta': 'delta_B'} part=2: .381,V9.Q028,PASS,S2T008 None {'delta': 'delta_B'}
V9.Q029,v2 supplied checklist (governing log unavailable),G.6,S2T001 None {'delta': 'delta_min'} part=1: -.202,V9.Q029,PASS,S2T001 None {'delta': 'delta_min'}
V9.approximate_alpha_context,v2 supplied checklist,G.6,"minimum about 0.096 (hard-case purposes, alpha LBC and alpha ALC)",V9.approximate_alpha_context,NOT CHECKED,"V6.1 establishes the minimum. No tolerance for ""about"" is specified; no separate exact .096 claim is imposed on ALC."
V9.crosses_zero,v2 supplied checklist,S1.8,S3T008 delta_C crosses zero,V9.crosses_zero,PASS,
V9.Q032,v2 supplied checklist (governing log unavailable),1.1,S2T015 human_majority_positive_n {} part=None: 11,V9.Q032,PASS,S2T015 human_majority_positive_n {}
V9.Q033,v2 supplied checklist (governing log unavailable),1.1,S2T016 human_majority_positive_n {} part=None: 12,V9.Q033,PASS,S2T016 human_majority_positive_n {}
V9.Q034,v2 supplied checklist (governing log unavailable),S1.3; O.1,S2T017 human_majority_positive_n {} part=None: 8,V9.Q034,PASS,S2T017 human_majority_positive_n {}
V9.Q035,v2 supplied checklist (governing log unavailable),S1.3; O.1,S2T017 model_positive_n {} part=None: 8,V9.Q035,PASS,S2T017 model_positive_n {}
V9.Q036,v2 supplied checklist (governing log unavailable),S1.3; O.1,S2T017 fp {} part=None: 3,V9.Q036,PASS,S2T017 fp {}
V9.Q037,v2 supplied checklist (governing log unavailable),S1.3; O.1,S2T017 fn {} part=None: 3,V9.Q037,PASS,S2T017 fn {}
V9.Q038,v2 supplied checklist (governing log unavailable),S1.3,S2T018 human_majority_positive_n {} part=None: 6,V9.Q038,PASS,S2T018 human_majority_positive_n {}
V9.Q039,v2 supplied checklist (governing log unavailable),F.1,S2T015 model_positive_n {} part=None: 19,V9.Q039,PASS,S2T015 model_positive_n {}
V9.Q040,v2 supplied checklist (governing log unavailable),F.1,S2T015 human_majority_positive_n {} part=None: 11,V9.Q040,PASS,S2T015 human_majority_positive_n {}
V9.Q041,v2 supplied checklist (governing log unavailable),F.1,S2T015 fp {} part=None: 13,V9.Q041,PASS,S2T015 fp {}
V9.Q042,v2 supplied checklist (governing log unavailable),F.1,S2T015 fn {} part=None: 5,V9.Q042,PASS,S2T015 fn {}
V9.range.S5T005.A-B,v2 supplied checklist,K.4; F.2,"S5T005 Unclear ['A-B', 'A-C', 'B-C'] range ['.150', '.322']",V9.range.S5T005.A-B,PASS,
V9.range.S5T005.L-A,v2 supplied checklist,K.4; F.2,"S5T005 Unclear ['L-A', 'L-B', 'L-C'] range ['.037', '.241']",V9.range.S5T005.L-A,PASS,
V9.range.S5T006.A-B,v2 supplied checklist,K.4; F.2,"S5T006 Unclear ['A-B', 'A-C', 'B-C'] range ['.236', '.401']",V9.range.S5T006.A-B,PASS,
V9.range.S5T006.L-A,v2 supplied checklist,K.4; F.2,"S5T006 Unclear ['L-A', 'L-B', 'L-C'] range ['.016', '.114']",V9.range.S5T006.L-A,PASS,
V9.Q047,v2 supplied checklist (governing log unavailable),F.5,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'A-B'} part=None: ['.355', '.181', '.520']",V9.Q047,PASS,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'A-B'}"
V9.Q048,v2 supplied checklist (governing log unavailable),F.5,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'A-C'} part=None: ['.055', '-.068', '.207']",V9.Q048,PASS,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'A-C'}"
V9.Q049,v2 supplied checklist (governing log unavailable),F.5,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'B-C'} part=None: ['.076', '-.038', '.211']",V9.Q049,PASS,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'B-C'}"
V9.Q050,v2 supplied checklist (governing log unavailable),F.5,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'L-C'} part=None: ['.127', '.017', '.246']",V9.Q050,PASS,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'L-C'}"
V9.Q051,v2 supplied checklist (governing log unavailable),F.6,"S5T006 kappa {'label': 'Descriptive Monitoring', 'pair': 'L-B'} part=None: .554",V9.Q051,PASS,"S5T006 kappa {'label': 'Descriptive Monitoring', 'pair': 'L-B'}"
V9.Q052,v2 supplied checklist (governing log unavailable),F.6,"S5T006 kappa {'label': 'Policy Evaluation / Impact Analysis', 'pair': 'L-B'} part=None: .615",V9.Q052,PASS,"S5T006 kappa {'label': 'Policy Evaluation / Impact Analysis', 'pair': 'L-B'}"
V9.Q053,v2 supplied checklist (governing log unavailable),F.6,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'L-B'} part=None: .474",V9.Q053,PASS,"S5T006 kappa {'label': 'Outcome Tracking', 'pair': 'L-B'}"
