code,rule_id,scope,category,kind,rule_type,name,excerpt,introduced_in
1,R001,category,Business & Productivity,Research Domain,definition,Business & Productivity: definition,"Research concerning firms, business activity, industrial structure, innovation, productivity, entrepreneurship, trade, exports, foreign direct investment, research and development, business support, and firm-level performance.",rulecat-0.1
2,R002,category,Business & Productivity,Research Domain,inclusion rule,Business & Productivity: inclusion rule,"Assign when firms, business behaviour, productivity, innovation, investment, exporting, enterprise support, start-ups, industrial policy, business surveys, enterprise growth, firm performance, or other firm-level outcomes are central, including where a programme, policy, or economic condition defines the analytical design.",rulecat-0.1
3,R003,category,Business & Productivity,Research Domain,exclusion rule,Business & Productivity: exclusion rule,"Do not assign simply because a project uses firm-level data if the substantive question is mainly about workers, wages, public finance, or environmental impacts. Do not assign where firms are only a data source, setting, delivery channel, or contextual unit rather than the substantive object of analysis.",rulecat-0.1
4,R004,category,Business & Productivity,Research Domain,counterexample,"Business & Productivity: counterexample (instead consider Education & Skills, Labour Market & Employment)","Studies of worker skills, occupational roles, or training needs where firms are not the main object of analysis.",rulecat-0.1
5,R005,category,Crime & Justice,Research Domain,definition,Crime & Justice: definition,"Research concerning crime, victimisation, public safety, offending, policing, courts, prisons, probation, sentencing, family justice, civil justice, reoffending, and criminal records.",rulecat-0.1
6,R006,category,Crime & Justice,Research Domain,inclusion rule,Crime & Justice: inclusion rule,"Assign when the project's substantive focus is offending, victimisation, domestic abuse, policing, courts, sentencing, imprisonment, probation, youth justice, family justice, civil justice, or justice-system outcomes.",rulecat-0.1
7,R007,category,Crime & Justice,Research Domain,exclusion rule,Crime & Justice: exclusion rule,"Do not assign merely because a project studies risk, fairness, violence, families, children, or public services unless offending, victimisation, legal proceedings, justice-system institutions, or criminal/civil/family justice outcomes are central.",rulecat-0.1
8,R008,category,Crime & Justice,Research Domain,counterexample,Crime & Justice: counterexample (instead consider Health & Social Care),"Studies about harm, vulnerability, substance misuse, or high-risk groups where the outcome is health, wellbeing, or support need rather than crime or justice-system involvement.",rulecat-0.1
9,R009,category,Data Infrastructure & Methodology,Research Domain,definition,Data Infrastructure & Methodology: definition,"Research primarily focused on the methods, measures, tools, classifications, linkage processes, data quality, survey design, statistical infrastructure, or dataset development needed to produce, improve, validate, or use research data.",rulecat-0.1
10,R010,category,Data Infrastructure & Methodology,Research Domain,inclusion rule,Data Infrastructure & Methodology: inclusion rule,"Assign when the data asset, linkage process, measurement approach, classification, survey method, statistical method, or research infrastructure is itself the substantive object of the project.",rulecat-0.1
11,R011,category,Data Infrastructure & Methodology,Research Domain,exclusion rule,Data Infrastructure & Methodology: exclusion rule,"Do not assign solely because a project uses linked data, administrative data, statistical methods, or a secure research environment to study another substantive domain. In those cases, assign the substantive domain and, where appropriate, Methodological / Infrastructure Research in Layer C.",rulecat-0.1
12,R012,category,Data Infrastructure & Methodology,Research Domain,counterexample,Data Infrastructure & Methodology: counterexample,"Studies in a substantive domain that use linked data, administrative records, or advanced methods only as tools for the main research question.",rulecat-0.1
13,R013,category,Education & Skills,Research Domain,definition,Education & Skills: definition,"Research concerning education, learning, training, skills formation, and transitions through education systems. Includes early years, schools, colleges, universities, qualifications, apprenticeships, admissions, attainment, attendance, teacher workforce issues, childcare, and education-to-work pathways.",rulecat-0.1
14,R014,category,Education & Skills,Research Domain,inclusion rule,Education & Skills: inclusion rule,"Assign when the project's substantive focus is educational participation, attainment, qualifications, admissions, skills acquisition, training provision, apprenticeship pathways, school absence, teacher supply, education-to-work pathways, or educational progression. This includes projects where later employment or earnings outcomes are used to study the consequences of education, training, or skills pathways.",rulecat-0.1
15,R015,category,Education & Skills,Research Domain,exclusion rule,Education & Skills: exclusion rule,"Do not assign merely because a project uses education data, or where education level is only a subgroup, covariate, or explanatory characteristic and the research question is mainly about employment, earnings, job quality, or occupational progression.",rulecat-0.1
16,R016,category,Education & Skills,Research Domain,counterexample,Education & Skills: counterexample (instead consider Labour Market & Employment),Studies of wages or employment progression where education level is only a worker characteristic or subgroup definition.,rulecat-0.1
17,R017,category,Environment & Agriculture,Research Domain,definition,Environment & Agriculture: definition,"Research concerning the natural environment, climate, climate adaptation or resilience, energy, agriculture, farming, land use, pollution, decarbonisation, environmental policy, domestic or industrial energy use, and environmental impacts of economic or social activity.",rulecat-0.1
18,R018,category,Environment & Agriculture,Research Domain,inclusion rule,Environment & Agriculture: inclusion rule,"Assign when the project studies energy consumption, climate policy, decarbonisation, agriculture, farms, land use, environmental exposure, pollution, green transitions, or environmental dimensions of households, firms, or places.",rulecat-0.1
19,R019,category,Environment & Agriculture,Research Domain,exclusion rule,Environment & Agriculture: exclusion rule,"Do not assign because the word ""environment"" appears in a non-natural-environment sense, such as ""economic environment"". Use **Business & Productivity** where an energy or climate programme is primarily framed as firm innovation or productivity rather than environmental outcomes.",rulecat-0.1
20,R020,category,Environment & Agriculture,Research Domain,counterexample,Environment & Agriculture: counterexample,"Studies using environment to mean a social, economic, family, or institutional context rather than the natural environment.",rulecat-0.1
21,R021,category,Health & Social Care,Research Domain,definition,Health & Social Care: definition,"Research concerning health, illness, mortality, wellbeing, clinical outcomes, health services, public health, mental health, social care, and care-system use. Includes NHS services, hospitals, GP care, palliative care, maternity, morbidity, mortality where health is the research object, and adult or children's social care.",rulecat-0.1
22,R022,category,Health & Social Care,Research Domain,inclusion rule,Health & Social Care: inclusion rule,"Assign when health status, illness, clinical outcomes, healthcare access, hospital use, mental health, mortality where health is the research object, morbidity, care needs, social care, clinical risk, or health-focused wellbeing are central to the research question, including where social, housing, educational, or demographic factors are analysed as exposures.",rulecat-0.1
23,R023,category,Health & Social Care,Research Domain,exclusion rule,Health & Social Care: exclusion rule,"Do not assign mortality projects automatically; assign this domain only where mortality is treated as a health outcome. Use **Migration & Demographics** for mortality as a demographic/population outcome, and use the appropriate Layer C purpose where the focus is service pathways, policy evaluation, or exposure-outcome analysis rather than health/care as the substantive domain.",rulecat-0.1
24,R024,category,Health & Social Care,Research Domain,counterexample,Health & Social Care: counterexample (instead consider Migration & Demographics),"Studies using mortality as a population-composition or migration-comparison measure rather than as a clinical, care, or public-health outcome.",rulecat-0.1
25,R025,category,Housing & Planning,Research Domain,definition,Housing & Planning: definition,"Research concerning housing, homelessness, residential conditions, tenure, home ownership, planning systems, neighbourhoods, gentrification, residential mobility, and place-based housing or planning interventions.",rulecat-0.1
26,R026,category,Housing & Planning,Research Domain,inclusion rule,Housing & Planning: inclusion rule,"Assign when housing, homelessness, residential tenure, home ownership, housing markets, planning decisions, neighbourhood or residential conditions, residential mobility, or dwelling/residential-environment mechanisms are central to the research question.",rulecat-0.1
