code,group,name,description,components,source,introduced_in
1,rule,Domains: Business & Productivity vs Education & Skills,"One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Business & Productivity,mechvocab-0.1
2,rule,Domains: Business & Productivity vs Environment & Agriculture,"One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Environment & Agriculture,mechvocab-0.1
3,rule,Domains: Business & Productivity vs Labour Market & Employment,"One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Business & Productivity,mechvocab-0.1
4,rule,Domains: Business & Productivity vs Public Finance & Taxation,"One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Public Finance & Taxation,mechvocab-0.1
5,rule,Domains: Crime & Justice vs Health & Social Care,"One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Crime & Justice,mechvocab-0.1
6,rule,Domains: Education & Skills vs Labour Market & Employment,"One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Education & Skills and Labour Market & Employment,mechvocab-0.1
7,rule,Domains: Health & Social Care vs Migration & Demographics,"One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Health & Social Care and Migration & Demographics,mechvocab-0.1
8,rule,Domains: Labour Market & Employment vs Migration & Demographics,"One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Migration & Demographics,mechvocab-0.1
9,rule,"Domains: Labour Market & Employment vs Poverty, Wealth & Living Standards","One is assigned where the frozen rules point to the other, or the pair is confused.",dom,"dict-1.0-rc2 exclusion rule or counterexample under Labour Market & Employment and Poverty, Wealth & Living Standards",mechvocab-0.1
10,rule,"Domains: Poverty, Wealth & Living Standards vs Public Finance & Taxation","One is assigned where the frozen rules point to the other, or the pair is confused.",dom,dict-1.0-rc2 exclusion rule or counterexample under Public Finance & Taxation,mechvocab-0.1
11,rule,Purposes: Descriptive Monitoring vs Outcome Tracking,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Descriptive Monitoring and Outcome Tracking,mechvocab-0.1
12,rule,Purposes: Descriptive Monitoring vs Policy Evaluation / Impact Analysis,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Descriptive Monitoring and Policy Evaluation / Impact Analysis,mechvocab-0.1
13,rule,Purposes: Descriptive Monitoring vs Service Interaction / Systems Analysis,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Service Interaction / Systems Analysis,mechvocab-0.1
14,rule,Purposes: Life-Course / Trajectory Analysis vs Outcome Tracking,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Life-Course / Trajectory Analysis,mechvocab-0.1
15,rule,Purposes: Life-Course / Trajectory Analysis vs Service Interaction / Systems Analysis,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Life-Course / Trajectory Analysis,mechvocab-0.1
16,rule,Purposes: Outcome Tracking vs Policy Evaluation / Impact Analysis,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Outcome Tracking and Policy Evaluation / Impact Analysis,mechvocab-0.1
17,rule,Purposes: Outcome Tracking vs Risk Prediction / Early Identification,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Outcome Tracking and Risk Prediction / Early Identification,mechvocab-0.1
18,rule,Purposes: Outcome Tracking vs Service Interaction / Systems Analysis,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Service Interaction / Systems Analysis,mechvocab-0.1
19,rule,Purposes: Policy Evaluation / Impact Analysis vs Service Interaction / Systems Analysis,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Service Interaction / Systems Analysis,mechvocab-0.1
20,rule,Purposes: Policy Evaluation / Impact Analysis vs Unclear from Register Entry,"One is assigned where the frozen rules point to the other, or the pair is confused.",purp,dict-1.0-rc2 exclusion rule or counterexample under Unclear from Register Entry,mechvocab-0.1
21,rule,Tags: COVID-19 & Pandemic vs Housing & Planning,"One is assigned where the frozen rules point to the other, or the pair is confused.",covid;dom,dict-1.0-rc2 exclusion rule or counterexample under Housing & Planning,mechvocab-0.1
22,rule,Tags: Demographic disparities / equity tag vs Migration & Demographics,"One is assigned where the frozen rules point to the other, or the pair is confused.",equity;dom,dict-1.0-rc2 exclusion rule or counterexample under Migration & Demographics,mechvocab-0.1
