Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
assignment_id,assignment_admin,Hidden assignment administration,text,Neutral opaque assignment identifier,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
review_stream,assignment_admin,,radio,Review stream,"1, Scratch coder | 2, Project owner",,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
reviewer_id,assignment_admin,,text,Administrative reviewer identifier,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
source_record_id,assignment_admin,,text,Stable source Record ID,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
official_project_id,assignment_admin,,text,Official Project ID,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
project_title,assignment_admin,,notes,Frozen public-register project title,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
datasets_used,assignment_admin,,notes,Frozen public-register datasets-used entry,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
sample_set,assignment_admin,,radio,Sample set,"1, Baseline | 2, Hard case | 3, Owner review | 4, Pilot",,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
hard_stratum,assignment_admin,,radio,Hard-case stratum,"0, Not applicable | 1, Domain only | 2, Purpose only | 3, Both",,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
validation_included,assignment_admin,,yesno,Included in validation analysis,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
sample_status,assignment_admin,,radio,Active or reserve status,"1, Active | 2, Reserve | 3, Review only",,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
display_order,assignment_admin,,text,Reviewer display order,,,integer,,,,,,,,,,@HIDDEN-SURVEY @READONLY
assignment_batch,assignment_admin,,text,Assignment batch,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
source_pop_ver,assignment_admin,,text,Source-population version,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
production_ver,assignment_admin,,text,Production-output version,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
instrument_ver,assignment_admin,,text,Instrument version,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
cluster_id,assignment_admin,,text,Project-level clustering identifier,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
owner_resp_id,assignment_admin,,text,Owner respondent identifier,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
owner_project_id,assignment_admin,,text,Owner project identifier,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d01,assignment_admin,,yesno,Proposed domain flag: Labour Market & Employment,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d02,assignment_admin,,yesno,Proposed domain flag: Education & Skills,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d03,assignment_admin,,yesno,Proposed domain flag: Health & Social Care,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d04,assignment_admin,,yesno,Proposed domain flag: Crime & Justice,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d05,assignment_admin,,yesno,Proposed domain flag: Business & Productivity,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d06,assignment_admin,,yesno,"Proposed domain flag: Poverty, Wealth & Living Standards",,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d07,assignment_admin,,yesno,Proposed domain flag: Housing & Planning,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d08,assignment_admin,,yesno,Proposed domain flag: Migration & Demographics,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d09,assignment_admin,,yesno,Proposed domain flag: Environment & Agriculture,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d10,assignment_admin,,yesno,Proposed domain flag: Public Finance & Taxation,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d11,assignment_admin,,yesno,Proposed domain flag: Data Infrastructure & Methodology,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d12,assignment_admin,,yesno,Proposed domain flag: Unclear from Register Entry,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p01,assignment_admin,,yesno,Proposed purpose flag: Descriptive Monitoring,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p02,assignment_admin,,yesno,Proposed purpose flag: Outcome Tracking,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p03,assignment_admin,,yesno,Proposed purpose flag: Life-Course / Trajectory Analysis,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p04,assignment_admin,,yesno,Proposed purpose flag: Service Interaction / Systems Analysis,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p05,assignment_admin,,yesno,Proposed purpose flag: Policy Evaluation / Impact Analysis,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p06,assignment_admin,,yesno,Proposed purpose flag: Risk Prediction / Early Identification,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p07,assignment_admin,,yesno,Proposed purpose flag: Methodological / Infrastructure Research,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p08,assignment_admin,,yesno,Proposed purpose flag: Unclear from Register Entry,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_t01,assignment_admin,,yesno,Proposed tag flag: Demographic disparities / equity tag,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_t02,assignment_admin,,yesno,Proposed tag flag: COVID-19 & Pandemic,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
sc_intro,scratch_coder,Scratch-coder review,descriptive,"Classify using only the displayed title, datasets-used entry and approved training materials.",,,,,,,,,,,,,
sc_assignment,scratch_coder,,descriptive,Assignment: <strong>[assignment_id]</strong>,,,,,,,,,,,,,
sc_project_title,scratch_coder,,descriptive,<strong>Project title</strong><br>[project_title],,,,,,,,,,,,,
sc_datasets,scratch_coder,,descriptive,<strong>Datasets used</strong><br>[datasets_used],,,,,,,,,,,,,
sc_blind_decl,scratch_coder,,radio,I confirm that I used only the permitted register evidence and training materials.,"1, Confirmed | 0, Cannot confirm",,,,,,,y,,,,,
sc_exposure,scratch_coder,,radio,Were you accidentally exposed to prohibited project or reviewer information?,"0, No | 1, Yes",,,,,,,y,,,,,
sc_exposure_note,scratch_coder,,notes,Describe the accidental exposure without copying restricted content.,,,,,,,[sc_exposure] = '1',y,,,,,
sc_domains,scratch_coder,Classification,checkbox,Research Domain(s),"1, Labour Market & Employment | 2, Education & Skills | 3, Health & Social Care | 4, Crime & Justice | 5, Business & Productivity | 6, Poverty, Wealth & Living Standards | 7, Housing & Planning | 8, Migration & Demographics | 9, Environment & Agriculture | 10, Public Finance & Taxation | 11, Data Infrastructure & Methodology | 12, Unclear from Register Entry","Select every supported substantive domain, or Unclear alone.",,,,,,y,,,,,@NONEOFTHEABOVE='12'
sc_purposes,scratch_coder,,checkbox,Analytical Purpose(s),"1, Descriptive Monitoring | 2, Outcome Tracking | 3, Life-Course / Trajectory Analysis | 4, Service Interaction / Systems Analysis | 5, Policy Evaluation / Impact Analysis | 6, Risk Prediction / Early Identification | 7, Methodological / Infrastructure Research | 8, Unclear from Register Entry","Select one or at most two purposes, or Unclear alone.",,,,,,y,,,,,@MAXCHECKED=2 @NONEOFTHEABOVE='8'
sc_covid,scratch_coder,,radio,COVID-19 & Pandemic,"0, No | 1, Yes",,,,,,,y,,,,,
sc_equity,scratch_coder,,radio,Demographic disparities / equity tag,"0, No | 1, Yes",,,,,,,y,,,,,
sc_sufficiency,scratch_coder,Evidence and confidence,radio,Register-entry sufficiency,"1, Sufficient | 2, Partial | 3, Insufficient",,,,,,,y,,,,,
sc_taxonomy_fit,scratch_coder,,radio,Taxonomy fit,"1, Fit | 2, Partial Fit | 3, No Fit",,,,,,,y,,,,,
sc_tax_issue,scratch_coder,,checkbox,Taxonomy issue type,"1, Missing category | 2, Ambiguous/overlapping categories | 3, Too broad | 4, Too narrow | 5, Other | 6, None",,,,,,[sc_taxonomy_fit] = '2' or [sc_taxonomy_fit] = '3',y,,,,,
sc_confidence,scratch_coder,,radio,Classification confidence,"1, High | 2, Medium | 3, Low",,,,,,,y,,,,,
sc_note,scratch_coder,,notes,Explanatory note,,"Required for partial or insufficient evidence, low confidence, or a taxonomy concern.",,,,,[sc_sufficiency] = '2' or [sc_sufficiency] = '3' or [sc_taxonomy_fit] = '2' or [sc_taxonomy_fit] = '3' or [sc_confidence] = '3',y,,,,,
po_intro,project_owner,Project-owner review,descriptive,Review proposed labels separately for actual-project fit and visibility in the public register entry.,,,,,,,,,,,,,
po_assignment,project_owner,,descriptive,Assignment: <strong>[assignment_id]</strong>,,,,,,,,,,,,,
po_project_title,project_owner,,descriptive,<strong>Project title</strong><br>[project_title],,,,,,,,,,,,,
po_datasets,project_owner,,descriptive,<strong>Datasets used</strong><br>[datasets_used],,,,,,,,,,,,,
po_d01_label,project_owner,Proposed domain labels,descriptive,"<strong>Labour Market &amp; Employment</strong><br>Research concerning work, employment, labour-market participation, and workforce dynamics. Includes wages and earnings; employment, unemployment, inactivity and underemployment; job quality; working hours, contracts, gig or platform work, and working conditions; labour supply and demand; occupational, sectoral and geographic mobility; workforce recruitment and retention; skills demand and mismatch; and transitions into, through, or out of work.",,,,,,,[prop_d01] = '1',,,,,,
po_d01_fit,project_owner,,radio,Does Labour Market & Employment describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,[prop_d01] = '1',y,,,,,
po_d01_vis,project_owner,,radio,Is the basis for Labour Market & Employment visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,[prop_d01] = '1',y,,,,,
po_d02_label,project_owner,,descriptive,"<strong>Education &amp; Skills</strong><br>Research concerning education, learning, training, skills formation, and transitions through education systems. Includes early years, schools, colleges,  universities, qualifications, apprenticeships, admissions, attainment, attendance, teacher workforce issues, childcare, and education-to-work pathways.",,,,,,,[prop_d02] = '1',,,,,,
po_d02_fit,project_owner,,radio,Does Education & Skills describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,[prop_d02] = '1',y,,,,,
