variable,form,field_type,scope,prepopulated,participant_response,branching,required,annotation,construct,analytical_completion,requiredness_rationale,analysis_applicability,notes
owner_id,owner_consent,text,owner_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
owner_intro,owner_consent,descriptive,owner_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
participant_info_link,owner_consent,descriptive,owner_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
participant_info_ver,owner_consent,text,owner_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
consent_form_ver,owner_consent,text,owner_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
owner_instr_ver,owner_consent,text,owner_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
intended_recipient,owner_consent,radio,owner_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
wrong_recipient_stop,owner_consent,descriptive,owner_row,no,no,[intended_recipient] = '0',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
owner_consent,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
consent_decline_stop,owner_consent,descriptive,owner_row,no,no,[owner_consent] = '0',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
ack_pref,owner_consent,radio,owner_row,no,yes,[intended_recipient] = '1' and [owner_consent] = '1',,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
assignment_id,project_review,text,project_review_repeat_row,yes,no,,y,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
source_record_id,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
official_project_id,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
project_title,project_review,notes,project_review_repeat_row,yes,no,,y,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
datasets_used,project_review,notes,project_review_repeat_row,yes,no,,y,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
public_register_url,project_review,text,project_review_repeat_row,yes,no,,,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
source_pop_ver,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
production_ver,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
taxonomy_ver,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
proposal_output_sha256,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
review_instr_ver,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
taxonomy_display_ver,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_domain_summary,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,"Pre-populated deterministic display-support summary; survey-hidden, not participant-editable, not an analytical outcome and excluded from analytical completion."
prop_purpose_summary,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,"Pre-populated deterministic display-support summary; survey-hidden, not participant-editable, not an analytical outcome and excluded from analytical completion."
prop_tag_summary,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,"Pre-populated deterministic display-support summary; survey-hidden, not participant-editable, not an analytical outcome and excluded from analytical completion."
po_classification_overview,project_review,descriptive,project_review_repeat_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_intro,project_review,descriptive,project_review_repeat_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_privacy,project_review,descriptive,project_review_repeat_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_taxonomy_ref,project_review,descriptive,project_review_repeat_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
prop_d01_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_d01_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d01_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_d01_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_d01_fit,project_review,radio,project_review_repeat_row,no,yes,[prop_d01_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d01_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d01_fit] = '2',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_fit_is_2_does_not_fit,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_d01_vis,project_review,radio,project_review_repeat_row,no,yes,[prop_d01_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_d01_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d01_vis] = '1' or [po_d01_vis] = '0' or [po_d01_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_d02_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_d02_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
