rank,field,rule_id,raw_value_or_pattern,corrected_or_canonical_value,affected_records,affected_occurrences,operation,observed_raw_text_suppressed,suppression_reason
1,datasets,provider_repeated_word_correction,,SAIL Databank,49,53,recognised repeated provider word removed,True,reserve membership artefacts unavailable; all observed raw strings withheld
2,organisations,institution_parser_cleanup,,London School of Economics and Political Science (LSE),2,2,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
3,organisations,institution_parser_cleanup,,University College London (UCL),2,2,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
4,datasets,provider_spelling_correction_01,,Office for National Statistics (ONS),1,2,recognised provider spelling correction,True,reserve membership artefacts unavailable; all observed raw strings withheld
5,datasets,dataset_leading_character_artifact,,Integrated Data Service,1,1,reviewed leading-character artefact correction,True,reserve membership artefacts unavailable; all observed raw strings withheld
6,datasets,dataset_spelling_correction_01,,Business Enterprise Research and Development (BERD),1,1,existing dataset spelling correction,True,reserve membership artefacts unavailable; all observed raw strings withheld
7,datasets,dataset_spelling_correction_02,,MoJ Data First Probation,1,1,existing dataset spelling correction,True,reserve membership artefacts unavailable; all observed raw strings withheld
8,datasets,dataset_truncation_correction_01,,Annual Survey of Hours and Earnings linked to Census 2011,1,1,reviewed truncated alias correction,True,reserve membership artefacts unavailable; all observed raw strings withheld
9,datasets,provider_spelling_correction_02,,Northern Ireland Statistics and Research Agency (NISRA),1,1,recognised provider spelling correction,True,reserve membership artefacts unavailable; all observed raw strings withheld
10,organisations,institution_parser_cleanup,,Academy of Medical Sciences,1,1,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
11,organisations,institution_parser_cleanup,,Centre for Economic and Business Research (CEBR),1,1,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
12,organisations,institution_parser_cleanup,,Health Foundation,1,1,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
13,organisations,institution_parser_cleanup,,Imperial College London,1,1,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
14,organisations,institution_parser_cleanup,,"Ministry of National Education, Republic of Türkiye",1,1,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
15,organisations,institution_parser_cleanup,,University of Leeds,1,1,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
16,organisations,institution_parser_cleanup,,University of Reading,1,1,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
17,organisations,institution_parser_cleanup,,University of Warwick,1,1,production parser_cleanup match status,True,reserve membership artefacts unavailable; all observed raw strings withheld
18,organisations,institution_reviewed_typo_alias,,Equality and Human Rights Commission (EHRC),1,1,aliases labelled as typos by production tests/source comments,True,reserve membership artefacts unavailable; all observed raw strings withheld
19,organisations,institution_reviewed_typo_alias,,Institute for Employment Studies (IES),1,1,aliases labelled as typos by production tests/source comments,True,reserve membership artefacts unavailable; all observed raw strings withheld
20,organisations,institution_reviewed_typo_alias,,London School of Economics and Political Science (LSE),1,1,aliases labelled as typos by production tests/source comments,True,reserve membership artefacts unavailable; all observed raw strings withheld
21,organisations,institution_reviewed_typo_alias,,Sentencing Academy,1,1,aliases labelled as typos by production tests/source comments,True,reserve membership artefacts unavailable; all observed raw strings withheld
22,organisations,institution_reviewed_typo_alias,,Teesside University,1,1,aliases labelled as typos by production tests/source comments,True,reserve membership artefacts unavailable; all observed raw strings withheld
23,organisations,institution_reviewed_typo_alias,,University of York,1,1,aliases labelled as typos by production tests/source comments,True,reserve membership artefacts unavailable; all observed raw strings withheld
