original_record_id_repr,corrected_record_id,official_project_id,title,reference_csv_row,fingerprint,removed_characters,duplicate_would_result,downstream_artefacts_migrated
'2020/062 ',2020/062,2020/062,"Local Institutions, Productivity, Sustainability and Inclusivity Trade-offs",86,5b552c0a25133aaa,  (U+0020 SPACE),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/004 ',2021/004,2021/004,BEIS/ISC Understanding the Links Between Social Metrics and Productivity,150,8676988633a79585,  (U+0020 SPACE),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/135\r\n',2021/135,2021/135,Are assessments of innovation projects good predictors of success?,270,826985d4d285ff43,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/139\r\n',2021/139,2021/139,Innovation failure and firm survival: The case of the UK tourism industry,274,f6c5573851f1eb02,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/140\r\n',2021/140,2021/140,"Well-being, wages, hours of work, and income",275,2c783147b0df3191,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/143\r\n',2021/143,2021/143,The Impact of Automatic Enrolment in Workplace Pensions on Wages and Productivity,278,a816565d14e4b705,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/151\r\n',2021/151,2021/151,Economy 2030 Inquiry: Places research strand,284,956d83b8e2b14655,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/153\r\n',2021/153,2021/153,"Assessing inequalities in health, wellbeing, and social participation outcomes for young carers in the UK",286,83c6999b3d645997,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/155\r\n',2021/155,2021/155,Improving regional capital investment statistics,288,56d4caf280802247,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/156\r\n',2021/156,2021/156,Creative Industries Tax Relief Evaluation,289,8152186d0578af37,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/158\r\n',2021/158,2021/158,"Cities, Levelling Up and Productivity",291,ac4c9d6b9a56b7f4,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/160\r\n',2021/160,2021/160,Linking National and Regional Income Inequality: Cross-Country Data Harmonization and Analysis,293,29f9e92c7cf53ff6,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/161\r\n',2021/161,2021/161,Workers and firms under Brexit uncertainty,294,33e5a4fb2f8a53f6,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2021/162\r\n',2021/162,2021/162,"Labour Flow Networks, Shocks, and Resilience",295,62ef05bb5211b989,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2022/159 ',2022/159,2022/159,"Paid employment, deprivation and unpaid care work across England and Wales",467,6dea0b06ea78d286,  (U+0020 SPACE),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
'2023/070\r\n',2023/070,2023/070,The economic and socio-economic impacts of trade on the UK labour market (Census Data),575,30c1725ccc91e3f5,\r (U+000D CARRIAGE RETURN); \n (U+000A LINE FEED),false,analysis/outputs/gpt55_classifications.csv; analysis/outputs/gpt55_gpt-5.5_dict-1.0-rc2_llm_layer_cache.json; analysis/outputs/gpt55_run_metadata.json; analysis/outputs/reviewed_duplicate_record_id_migration_audit.csv; analysis/outputs_classified_20260702_fable5/all_projects_classified.csv; analysis/outputs_classified_20260702_fable5/layer_classifications.csv; analysis/outputs_classified_20260702_fable5/llm_layer_cache.json; analysis/outputs_classified_20260702_fable5/run_metadata.json; analysis/outputs_deterministic_rc2/quality/organisation_names_for_review.csv; analysis/outputs_deterministic_rc2/register_properties.csv
