Record ID,Project ID,Title,gpt_status,domains_exact_match,domains_jaccard,purposes_exact_match,purposes_jaccard,covid_tag_match,disparities_tag_match,tag_set_match,any_tag_set_match,tag_only_disagreement,DISAGREE,fable_domains,gpt_domains,fable_purposes,gpt_purposes,fable_tags,gpt_tags,fable_rationale,gpt_rationale,gpt_validation_error,disagreement_layer
2019/007,2019/007,Thriving Places index indicators of wellbeing at local authority level,ok,False,0.0,False,0.5,True,True,True,True,False,True,Health & Social Care,Data Infrastructure & Methodology,Descriptive Monitoring,Descriptive Monitoring; Methodological / Infrastructure Research,,,Assigned Health & Social Care because the project measures wellbeing indicators (Thriving Places index) at local authority level; Descriptive Monitoring because the operation is constructing and measuring indicators of wellbeing across local areas rather than testing exposures or evaluating a named policy; no tag because no demographic comparison or pandemic framing appears in the entry.,Assigned Data Infrastructure & Methodology because the title concerns Thriving Places index indicators at local authority level; Descriptive Monitoring and Methodological / Infrastructure Research because it both produces local wellbeing indicators and uses them to measure area-level patterns; no tag because no demographic-equity or COVID-19 lens is indicated.,,both
2020/014,2020/014,UK Competition Indicators,ok,False,0.5,False,0.5,True,True,True,True,False,True,Business & Productivity,Business & Productivity; Data Infrastructure & Methodology,Descriptive Monitoring,Descriptive Monitoring; Methodological / Infrastructure Research,,,"Assigned Business & Productivity because the project measures market competition using firm-level datasets (BSD, ARD, ABS, Producer Price Index); Descriptive Monitoring because constructing 'UK Competition Indicators' is a measurement and trend-profiling operation rather than an exposure-outcome test; no tag because COVID-19 data are incidental and no demographic comparison is central.","Assigned Business & Productivity and Data Infrastructure & Methodology because the title concerns UK competition indicators built from business, productivity, R&D, price and innovation data; Descriptive Monitoring and Methodological / Infrastructure Research because the project appears to construct and use indicators to measure competition; no tag because neither COVID-19 nor demographic-equity comparison is central despite one COVID-19 business dataset.",,both
2020/016,2020/016,Identification and monitoring of social impact indicators in the West Cumbrian region,ok,False,0.5,False,0.5,True,True,True,True,False,True,Labour Market & Employment; Business & Productivity,Labour Market & Employment; Education & Skills; Business & Productivity; Data Infrastructure & Methodology,Descriptive Monitoring,Descriptive Monitoring; Methodological / Infrastructure Research,,,"Assigned Labour Market & Employment and Business & Productivity because the datasets (APS, LFS, Longitudinal Small Business Survey, National Employer Skills Survey) indicate regional labour-market and business indicators for West Cumbria; Descriptive Monitoring because 'identification and monitoring of social impact indicators' is an explicit measurement and monitoring operation; no tag because no demographic comparison or pandemic condition is central.","Assigned Labour Market & Employment, Education & Skills, Business & Productivity and Data Infrastructure & Methodology because the title concerns identifying and monitoring regional social impact indicators using labour force, employer skills and small business datasets; Descriptive Monitoring and Methodological / Infrastructure Research because it explicitly identifies and monitors indicators; no tag because the West Cumbrian regional focus is not a demographic-equity or COVID-19 lens.",,both
2020/039,2020/039,"Developing experimental estimates of regional skill demand, supply and mismatch",ok,False,0.5,False,0.5,True,True,True,True,False,True,Labour Market & Employment,Labour Market & Employment; Data Infrastructure & Methodology,Methodological / Infrastructure Research; Descriptive Monitoring,Methodological / Infrastructure Research,,,"Assigned Labour Market & Employment because the project studies regional skill demand, supply and mismatch using labour-market surveys (APS, LFS, ASHE); Methodological / Infrastructure Research and Descriptive Monitoring because it develops experimental estimates that measure and profile regional skill mismatch; no tag because no demographic-equity or pandemic lens is evident.","Assigned Labour Market & Employment and Data Infrastructure & Methodology because the project develops experimental estimates of regional skill demand, supply and mismatch using labour-force and earnings datasets; Methodological / Infrastructure Research because developing experimental estimates is the central analytical operation; no tag because there is no COVID-19 or demographic/equality lens.",,both
2020/055,2020/055,The role that start-ups and incumbents in explaining growth in the UK,ok,False,0.5,False,0.0,True,True,True,True,False,True,Business & Productivity,Business & Productivity; Environment & Agriculture,Descriptive Monitoring,Outcome Tracking,,,Assigned Business & Productivity because the project examines the contribution of start-ups and incumbent firms to UK growth using the Business Structure Database; Descriptive Monitoring because the analytical operation is decomposing and characterising the sources of growth rather than testing a policy or exposure; no tag because no demographic or pandemic lens is evident.,"Assigned Business & Productivity and Environment & Agriculture because the project studies start-ups, incumbents and UK growth using Business Structure Database and Low Carbon and Renewable Energy Economy Survey data; Outcome Tracking because it examines how firm type contributes to or explains growth outcomes; no tag because no demographic-equity or COVID-19 lens is central.",,both
2020/081,2020/081,Occupational differences in mortality from Covid-19,ok,False,0.5,False,0.0,True,True,True,True,False,True,Health & Social Care; Labour Market & Employment,Health & Social Care,Outcome Tracking,Descriptive Monitoring,COVID-19 & Pandemic,COVID-19 & Pandemic,"Assigned Health & Social Care and Labour Market & Employment because COVID-19 mortality (death registrations) is analysed as a health outcome differentiated by occupation, making occupational structure substantively central; Outcome Tracking because occupation is a naturally occurring exposure linked to a mortality outcome; COVID-19 tag because pandemic mortality is the explicit outcome.",Assigned Health & Social Care because the title examines mortality from Covid-19 using death registration data; Descriptive Monitoring because it measures occupational differences in mortality; COVID-19 & Pandemic because Covid-19 mortality is the central outcome.,,both
2021/015,2021/015,Inequalities in the economic impact of COVID-19 pandemic on residents and businesses in Hackney and the City of London,ok,False,0.6666666666666666,False,0.0,True,True,True,True,False,True,"Labour Market & Employment; Business & Productivity; Poverty, Wealth & Living Standards","Business & Productivity; Poverty, Wealth & Living Standards",Descriptive Monitoring,Outcome Tracking,COVID-19 & Pandemic,COVID-19 & Pandemic,"Assigned Labour Market & Employment, Business & Productivity and Poverty, Wealth & Living Standards because the economic impact on residents and businesses is studied via LFS, BICS and Effects of Tax and Benefits data; Descriptive Monitoring because the project profiles how pandemic impacts are unequally distributed across a local area rather than testing a named intervention; COVID-19 & Pandemic tag because pandemic economic impact is central; no demographic tag because the inequalities are place- and socioeconomic-based rather than centrally across equality-relevant groups.","Assigned Business & Productivity and Poverty, Wealth & Living Standards because the title examines economic impacts on businesses and residents and the datasets include business impact, tax-benefit and labour/social impact data; Outcome Tracking because it assesses the economic impact of the COVID-19 pandemic rather than a named policy; COVID-19 & Pandemic because the pandemic is explicit and central.",,both
2021/076,2021/076,Education & Social Mobility: Understanding Earnings Outcomes for Free School Meals Students,ok,False,0.5,False,0.5,True,True,True,True,False,True,Education & Skills,Education & Skills; Labour Market & Employment,Life-Course / Trajectory Analysis,Outcome Tracking; Life-Course / Trajectory Analysis,,,"Assigned Education & Skills because the project studies earnings outcomes of Free School Meals students using LEO education-to-work data; Life-Course / Trajectory Analysis because the explicit framing is social mobility, following pupils from schooling into adult earnings; no tag because FSM status is a socioeconomic rather than demographic/equality-group comparison and no pandemic framing appears.","Assigned Education & Skills and Labour Market & Employment because the title concerns education, social mobility and earnings outcomes for Free School Meals students using LEO; Outcome Tracking and Life-Course / Trajectory Analysis because it follows education-linked cohorts into later earnings outcomes; no tag because Free School Meals is a socioeconomic marker rather than a demographic-equity lens under the tag definition.",,both
2021/080,2021/080,"Parenting Style, Parental Investment, and the Socioeconomic Environment",ok,False,0.0,False,0.0,True,True,True,True,False,True,Education & Skills; Labour Market & Employment,"Poverty, Wealth & Living Standards",Outcome Tracking,Unclear from Register Entry,,,Assigned Education & Skills and Labour Market & Employment because parental investment in children's human capital is the object while ASHE longitudinal earnings data measure the socioeconomic/earnings environment central to the design; Outcome Tracking because the project links the socioeconomic environment (a naturally occurring circumstance) to parenting style and investment; no tag because socioeconomic position alone does not qualify for the equity tag and no pandemic framing appears.,"Assigned Poverty, Wealth & Living Standards because the title centres the socioeconomic environment and parental investment, with ASHE longitudinal earnings data indicating material or socioeconomic resources; Unclear from Register Entry because the title lists concepts but does not specify a measurable outcome, trajectory, evaluation, prediction, or monitoring operation; no tag because no demographic equality group or COVID-19 lens is central.",,both
2021/087,2021/087,Examining new spatial and social mobilities to understand the shaping of geographical inequalities across the UK,ok,False,0.5,False,0.5,True,True,True,True,False,True,Migration & Demographics; Labour Market & Employment,Migration & Demographics,Life-Course / Trajectory Analysis,Outcome Tracking; Life-Course / Trajectory Analysis,,,"Assigned Migration & Demographics and Labour Market & Employment because spatial mobility (population movement) and social mobility (occupational progression) are the substantive objects, using the ONS Longitudinal Study; Life-Course / Trajectory Analysis because the longitudinal study design follows individuals' mobility trajectories over extended periods; no tag because geographical inequality, not demographic-group comparison or pandemic, frames the study.",Assigned Migration & Demographics because the title focuses on spatial and social mobilities and geographical inequalities using the ONS Longitudinal Study; Outcome Tracking and Life-Course / Trajectory Analysis because it examines how mobility processes shape inequalities over time; no tag because the inequality lens is geographical/social rather than demographic-equality based and COVID-19 is not mentioned.,,both
