layer,canonical_label,current_short_definition,candidate_reference_definition,reference_definition_word_count,reference_definition_character_count,candidate_microdefinition,microdefinition_word_count,microdefinition_character_count,source_taxonomy_definition,source_dictionary_version,wording_origin,reference_definition_provenance,imported_boundary_source_field,imported_boundary_source_path,imported_boundary_source_text,imported_boundary_note,reused_or_condensed,material_simplification_note,essential_boundary_preserved,compression_note,possible_ambiguity,review_status,reviewer,review_date,reviewer_note
domain,Labour Market & Employment,"Research concerning work, employment, labour-market participation, and workforce dynamics. Includes wages and earnings; employment, unemployment, inactivity and underemployment; job quality; working hours, contracts, gig or platform work, and working conditions; labour supply and demand; occupational, sectoral and geographic mobility; workforce recruitment and retention; skills demand and mismatch; and transitions into, through, or out of work.","Research concerning work, employment, labour-market participation, and workforce dynamics. Includes wages and earnings; employment, unemployment, inactivity and underemployment; job quality; working hours, contracts, gig or platform work, and working conditions; labour supply and demand; occupational, sectoral and geographic mobility; workforce recruitment and retention; skills demand and mismatch; and transitions into, through, or out of work.",55,448,"Work, employment, earnings, job quality, workforce dynamics, skills demand and labour-market transitions.",12,105,"Research concerning work, employment, labour-market participation, and workforce dynamics. Includes wages and earnings; employment, unemployment, inactivity and underemployment; job quality; working hours, contracts, gig or platform work, and working conditions; labour supply and demand; occupational, sectoral and geographic mobility; workforce recruitment and retention; skills demand and mismatch; and transitions into, through, or out of work.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central research object retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Education & Skills,"Research concerning education, learning, training, skills formation, and transitions through education systems. Includes early years, schools, colleges, universities, qualifications, apprenticeships, admissions, attainment, attendance, teacher workforce issues, childcare, and education-to-work pathways.","Research concerning education, learning, training, skills formation, and transitions through education systems. Includes early years, schools, colleges, universities, qualifications, apprenticeships, admissions, attainment, attendance, teacher workforce issues, childcare, and education-to-work pathways.",30,304,"Education, learning, training, skills formation and transitions through education systems and into work.",13,104,"Research concerning education, learning, training, skills formation, and transitions through education systems. Includes early years, schools, colleges, universities, qualifications, apprenticeships, admissions, attainment, attendance, teacher workforce issues, childcare, and education-to-work pathways.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central research object retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Health & Social Care,"Research concerning health, illness, mortality, wellbeing, clinical outcomes, health services, public health, mental health, social care, and care-system use. Includes NHS services, hospitals, GP care, palliative care, maternity, morbidity, mortality where health is the research object, and adult or children's social care.","Research concerning health, illness, mortality, wellbeing, clinical outcomes, health services, public health, mental health, social care, and care-system use. Includes NHS services, hospitals, GP care, palliative care, maternity, morbidity, mortality where health is the research object, and adult or children's social care.",42,324,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",15,110,"Research concerning health, illness, mortality, wellbeing, clinical outcomes, health services, public health, mental health, social care, and care-system use. Includes NHS services, hospitals, GP care, palliative care, maternity, morbidity, mortality where health is the research object, and adult or children's social care.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — explicitly includes mental health and retains mortality where health is the research object.,Human review focus: preserve the health-object boundary for mortality.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Crime & Justice,"Research concerning crime, victimisation, public safety, offending, policing, courts, prisons, probation, sentencing, family justice, civil justice, reoffending, and criminal records.","Research concerning crime, victimisation, public safety, offending, policing, courts, prisons, probation, sentencing, family justice, civil justice, reoffending, and criminal records.",20,183,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",12,107,"Research concerning crime, victimisation, public safety, offending, policing, courts, prisons, probation, sentencing, family justice, civil justice, reoffending, and criminal records.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central research object retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Business & Productivity,"Research concerning firms, business activity, industrial structure, innovation, productivity, entrepreneurship, trade, exports, foreign direct investment, research and development, business support, and firm-level performance.","Research concerning firms, business activity, industrial structure, innovation, productivity, entrepreneurship, trade, exports, foreign direct investment, research and development, business support, and firm-level performance.",23,226,"Firms, business activity, innovation, productivity, entrepreneurship, trade, investment and business performance.",11,113,"Research concerning firms, business activity, industrial structure, innovation, productivity, entrepreneurship, trade, exports, foreign direct investment, research and development, business support, and firm-level performance.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central research object retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
domain,"Poverty, Wealth & Living Standards","Research concerning material resources, economic hardship, household living standards, poverty, wealth, debt, savings, benefits, deprivation, food security, cost of living, household income, and distribution of resources.","Research concerning material resources, economic hardship, household living standards, poverty, wealth, debt, savings, benefits, deprivation, food security, cost of living, household income, and distribution of resources.",26,221,"Material resources, poverty, wealth, debt, benefits, deprivation, cost of living and household income.",13,102,"Research concerning material resources, economic hardship, household living standards, poverty, wealth, debt, savings, benefits, deprivation, food security, cost of living, household income, and distribution of resources.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central research object retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Housing & Planning,"Research concerning housing, homelessness, residential conditions, tenure, home ownership, planning systems, neighbourhoods, gentrification, residential mobility, and place-based housing or planning interventions.","Research concerning housing, homelessness, residential conditions, tenure, home ownership, planning systems, neighbourhoods, gentrification, residential mobility, and place-based housing or planning interventions.",21,213,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",12,110,"Research concerning housing, homelessness, residential conditions, tenure, home ownership, planning systems, neighbourhoods, gentrification, residential mobility, and place-based housing or planning interventions.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central research object retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Migration & Demographics,"Research concerning population structure, population change, migration, immigration, population mobility, fertility, ageing, mortality as a demographic outcome, census-based population analysis, and demographic composition.","Research concerning population structure, population change, migration, immigration, population mobility, fertility, ageing, mortality as a demographic outcome, census-based population analysis, and demographic composition.",23,223,"Population structure and change, migration, fertility, ageing and mortality as a demographic outcome.",13,101,"Research concerning population structure, population change, migration, immigration, population mobility, fertility, ageing, mortality as a demographic outcome, census-based population analysis, and demographic composition.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — retains mortality specifically as a demographic outcome.,Human review focus: preserve the demographic-outcome boundary for mortality.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Environment & Agriculture,"Research concerning the natural environment, climate, climate adaptation or resilience, energy, agriculture, farming, land use, pollution, decarbonisation, environmental policy, domestic or industrial energy use, and environmental impacts of economic or social activity.","Research concerning the natural environment, climate, climate adaptation or resilience, energy, agriculture, farming, land use, pollution, decarbonisation, environmental policy, domestic or industrial energy use, and environmental impacts of economic or social activity.",32,270,"Environment, climate, energy, agriculture, land use, pollution, decarbonisation and environmental impacts.",11,106,"Research concerning the natural environment, climate, climate adaptation or resilience, energy, agriculture, farming, land use, pollution, decarbonisation, environmental policy, domestic or industrial energy use, and environmental impacts of economic or social activity.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central research object retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Public Finance & Taxation,"Research concerning government revenue, taxation, tax compliance, tax credits, public expenditure, public spending, fiscal transfers, business rates, tax reliefs, and fiscal policy.","Research concerning government revenue, taxation, tax compliance, tax credits, public expenditure, public spending, fiscal transfers, business rates, tax reliefs, and fiscal policy.",22,181,"Taxation, government revenue, public spending, fiscal transfers, tax reliefs and fiscal policy.",12,95,"Research concerning government revenue, taxation, tax compliance, tax credits, public expenditure, public spending, fiscal transfers, business rates, tax reliefs, and fiscal policy.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central research object retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
