variable_name,conceptual_name,form_name,field_type,response_code,response_label,canonical_taxonomy_label,required_rule,branching_rule,visible_to_scratch_coder,visible_to_project_owner,exported_for_analysis,notes
assignment_id,Neutral opaque assignment identifier,assignment_admin,text,,,,required,,no,no,yes,@HIDDEN-SURVEY @READONLY
record_kind,Administrative record type,assignment_admin,radio,1,Project assignment,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
record_kind,Administrative record type,assignment_admin,radio,2,Coder declaration,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
record_kind,Administrative record type,assignment_admin,radio,3,Synthetic QA,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
review_stream,Review stream,assignment_admin,radio,1,Scratch coder,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
review_stream,Review stream,assignment_admin,radio,2,Project owner,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
reviewer_id,Administrative reviewer identifier,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
source_record_id,Stable source Record ID,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
official_project_id,Official Project ID,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
project_title,Frozen public-register project title,assignment_admin,notes,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
datasets_used,Frozen public-register datasets-used entry,assignment_admin,notes,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_set,Sample set,assignment_admin,radio,1,Baseline,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_set,Sample set,assignment_admin,radio,2,Hard case,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_set,Sample set,assignment_admin,radio,3,Owner review,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_set,Sample set,assignment_admin,radio,4,Pilot,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
hard_stratum,Hard-case stratum,assignment_admin,radio,0,Not applicable,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
hard_stratum,Hard-case stratum,assignment_admin,radio,1,Domain only,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
hard_stratum,Hard-case stratum,assignment_admin,radio,2,Purpose only,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
hard_stratum,Hard-case stratum,assignment_admin,radio,3,Both,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
validation_included,Included in validation analysis,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_status,Active or reserve status,assignment_admin,radio,1,Active,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_status,Active or reserve status,assignment_admin,radio,2,Reserve,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_status,Active or reserve status,assignment_admin,radio,3,Review only,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
display_order,Reviewer display order,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
assignment_batch,Assignment batch,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
source_pop_ver,Source-population version,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
production_ver,Production-output version,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
