claim_id,log_file_name,section_number,parsed_values,source_table,source_cell,source_values_full_precision,comparison_rule_used,status,quantity_label,notes
R001,scratch_coder_figure_revisions_log_pass2.md,G.1,"[""-0.202""]",S2T001,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 13, ci_lower; analysis/scratch_coder_results/results.md::S2T001.r8 interval_lower; analysis/figure_data/scratch_coder_figure_1.csv::CSV row 33, interval_lower_string; analysis/figure_data/scratch_coder_figure_1_panel_agreement.csv::CSV row 33, interval_lower_string; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 33, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 33, interval_lower_string","[[""-0.2020064067359965"", ""-0.2020064067359965"", ""-0.2020064067359965"", ""-0.2020064067359965"", ""-0.2020064067359965"", ""-0.2020064067359965""]]",rounded,PASS,baseline equity delta_min lower,
R002,scratch_coder_figure_revisions_log_pass2.md,G.1,"[""-0.330""]",S2T007,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 61, ci_lower; analysis/scratch_coder_results/results.md::S2T007.r8 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 65, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 65, interval_lower_string","[[""-0.33012555322232656"", ""-0.33012555322232656"", ""-0.33012555322232656"", ""-0.33012555322232656""]]",rounded,PASS,hard-case equity delta_min lower,
R003,scratch_coder_figure_revisions_log_pass2.md,G.1,"[""0.381""]",S2T008,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 63, ci_upper; analysis/scratch_coder_results/results.md::S2T008.r6 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 55, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 55, interval_upper_string","[[""0.38067397476013815"", ""0.38067397476013815"", ""0.38067397476013815"", ""0.38067397476013815""]]",rounded,PASS,hard-case COVID delta_B upper,
R004,scratch_coder_figure_revisions_log_pass2.md,G.6,"[""0.184""]",S3T002,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 8, ci_lower; analysis/scratch_coder_results/results.md::S3T002.r3 interval_lower; analysis/figure_data/scratch_coder_figure_1.csv::CSV row 12, interval_lower_string; analysis/figure_data/scratch_coder_figure_1_panel_agreement.csv::CSV row 12, interval_lower_string; analysis/figure_data/scratch_coder_figure_2.csv::CSV row 12, interval_lower_string; analysis/figure_data/scratch_coder_figure_2_sufficiency_sensitivity.csv::CSV row 12, interval_lower_string; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 12, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 12, interval_lower_string","[[""0.1836683964830065"", ""0.1836683964830065"", ""0.1836683964830065"", ""0.1836683964830065"", ""0.1836683964830065"", ""0.1836683964830065"", ""0.1836683964830065"", ""0.1836683964830065""]]",rounded,PASS,baseline purposes alpha ALC lower,
R005,scratch_coder_figure_revisions_log_pass2.md,G.6,"[""0.096""]",S3T008,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 55, ci_lower; analysis/scratch_coder_results/results.md::S3T008.r2 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 43, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 43, interval_lower_string","[[""0.09584068148568015"", ""0.09584068148568015"", ""0.09584068148568015"", ""0.09584068148568015""]]",rounded,PASS,hard-case purposes alpha LBC lower,
R006,scratch_coder_figure_revisions_log_pass2.md,G.6,"[""0.097""]",S3T008,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 56, ci_lower; analysis/scratch_coder_results/results.md::S3T008.r3 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 44, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 44, interval_lower_string","[[""0.09738740729773068"", ""0.09738740729773068"", ""0.09738740729773068"", ""0.09738740729773068""]]",rounded,PASS,hard-case purposes alpha ALC lower,
R007,scratch_coder_figure_revisions_log_pass2.md,G.6,"[""0.096""]",S3T008,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 55, ci_lower; analysis/scratch_coder_results/results.md::S3T008.r2 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 43, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 43, interval_lower_string","[[""0.09584068148568015"", ""0.09584068148568015"", ""0.09584068148568015"", ""0.09584068148568015""]]",rounded,PASS,lowest alpha lower bound,
R008,scratch_coder_figure_revisions_log_pass2.md,G.12,"[""199"", ""173""]",S5T001,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 2, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r3 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 2, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 3, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r9 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 3, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 4, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r15 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 4, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 5, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r21 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 5, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 6, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r27 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 6, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 7, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r33 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 7, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 8, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r39 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 8, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 9, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r45 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 9, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 10, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r51 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 10, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 11, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r57 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 11, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 12, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r63 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 12, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 13, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r69 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 13, interval_lower_string; analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 2, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r1 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 2, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 3, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r7 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 3, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 4, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r13 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 4, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 5, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r19 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 5, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 6, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r25 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 6, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 7, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r31 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 7, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 8, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r37 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 8, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 9, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r43 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 9, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 10, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r49 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 10, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 11, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r55 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 11, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 12, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r61 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 12, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 13, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r67 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 13, source_value_string","[[""45"", ""4"", ""4"", ""35"", ""10"", ""25"", ""1"", ""56"", ""6"", ""10"", ""2"", ""1""], [""41"", ""4"", ""0"", ""27"", ""4"", ""23"", ""0"", ""39"", ""9"", ""11"", ""2"", ""13""]]",exact,PASS,domain label-application totals,
R009,scratch_coder_figure_revisions_log_pass2.md,G.12,"[""160"", ""129""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 14, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r3 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 14, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 15, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r9 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 15, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 16, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r15 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 16, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 17, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r21 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 17, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 18, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r27 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 18, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 19, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r33 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 19, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 20, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r39 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 20, interval_lower_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 21, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r45 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 21, interval_lower_string; analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 14, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r1 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 14, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 15, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r7 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 15, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 16, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r13 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 16, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 17, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r19 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 17, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 18, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r25 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 18, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 19, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r31 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 19, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 20, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r37 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 20, source_value_string + analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 21, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r43 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 21, source_value_string","[[""52"", ""11"", ""10"", ""47"", ""33"", ""2"", ""4"", ""1""], [""36"", ""9"", ""7"", ""19"", ""30"", ""1"", ""1"", ""26""]]",exact,PASS,purpose label-application totals,
R010,scratch_coder_figure_revisions_log_pass2.md,G.12,"[""1"", ""13""]",S5T001,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 13, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r69 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 13, interval_lower_string; analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 13, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r67 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 13, source_value_string","[[""1"", ""1"", ""1""], [""13"", ""13"", ""13""]]",exact,PASS,domain Unclear operands,
