source_order,field_name,form,field_type,label,choices,validation,branching_logic,required_status,identifier_status,respondent_visibility,intended_analytical_role,standalone_disposition,content_reuse,disposition_rationale,field_note,field_annotation
1,po_intro,project_owner,descriptive,Review proposed labels separately for actual-project fit and visibility in the public register entry.,,,,n,n,visible when its branch is true,survey_context,reusable_with_wording_or_configuration_change,wording_and_configuration_change,"Expand the introduction to cover voluntary participation, use, privacy, withdrawal and non-gold-standard status; add assignment-record and acknowledgement guards.",,
2,po_assignment,project_owner,descriptive,Assignment: <strong>[assignment_id]</strong>,,,,n,n,visible when its branch is true,survey_context,reusable_with_wording_or_configuration_change,wording_and_configuration_change,Pipe the standalone owner_assignment_id rather than the combined-project assignment_id; add assignment-record and acknowledgement guards.,,
3,po_project_title,project_owner,descriptive,<strong>Project title</strong><br>[project_title],,,,n,n,visible when its branch is true,public_project_context,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
4,po_datasets,project_owner,descriptive,<strong>Datasets used</strong><br>[datasets_used],,,,n,n,visible when its branch is true,public_project_context,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
5,po_d01_label,project_owner,descriptive,"<strong>Labour Market &amp; Employment</strong><br>Research concerning work, employment, labour-market participation, and workforce dynamics. Includes wages and earnings; employment, unemployment, inactivity and underemployment; job quality; working hours, contracts, gig or platform work, and working conditions; labour supply and demand; occupational, sectoral and geographic mobility; workforce recruitment and retention; skills demand and mismatch; and transitions into, through, or out of work.",,,[prop_d01] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
6,po_d01_fit,project_owner,radio,Does Labour Market & Employment describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d01] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
7,po_d01_vis,project_owner,radio,Is the basis for Labour Market & Employment visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d01] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
8,po_d02_label,project_owner,descriptive,"<strong>Education &amp; Skills</strong><br>Research concerning education, learning, training, skills formation, and transitions through education systems. Includes early years, schools, colleges,  universities, qualifications, apprenticeships, admissions, attainment, attendance, teacher workforce issues, childcare, and education-to-work pathways.",,,[prop_d02] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
9,po_d02_fit,project_owner,radio,Does Education & Skills describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d02] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
10,po_d02_vis,project_owner,radio,Is the basis for Education & Skills visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d02] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
11,po_d03_label,project_owner,descriptive,"<strong>Health &amp; Social Care</strong><br>Research concerning health, illness, mortality, wellbeing, clinical outcomes, health services, public health,  mental health, social care, and care-system use. Includes NHS services, hospitals, GP care, palliative care,  maternity, morbidity, mortality where health is the research object, and adult or children&#x27;s social care.",,,[prop_d03] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
12,po_d03_fit,project_owner,radio,Does Health & Social Care describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d03] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
13,po_d03_vis,project_owner,radio,Is the basis for Health & Social Care visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d03] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
14,po_d04_label,project_owner,descriptive,"<strong>Crime &amp; Justice</strong><br>Research concerning crime, victimisation, public safety, offending, policing, courts, prisons, probation, sentencing, family justice, civil justice, reoffending, and criminal records.",,,[prop_d04] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
15,po_d04_fit,project_owner,radio,Does Crime & Justice describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d04] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
16,po_d04_vis,project_owner,radio,Is the basis for Crime & Justice visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d04] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
17,po_d05_label,project_owner,descriptive,"<strong>Business &amp; Productivity</strong><br>Research concerning firms, business activity, industrial structure, innovation, productivity, entrepreneurship,  trade, exports, foreign direct investment, research and development, business support, and firm-level performance.",,,[prop_d05] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
18,po_d05_fit,project_owner,radio,Does Business & Productivity describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d05] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
19,po_d05_vis,project_owner,radio,Is the basis for Business & Productivity visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d05] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
20,po_d06_label,project_owner,descriptive,"<strong>Poverty, Wealth &amp; Living Standards</strong><br>Research concerning material resources, economic hardship, household living standards, poverty, wealth, debt,  savings, benefits, deprivation, food security, cost of living, household income, and distribution of resources.",,,[prop_d06] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
21,po_d06_fit,project_owner,radio,"Does Poverty, Wealth & Living Standards describe the actual project?","1, Fits | 2, Does not fit | 3, Unsure",,[prop_d06] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
22,po_d06_vis,project_owner,radio,"Is the basis for Poverty, Wealth & Living Standards visible in the public register entry?","1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d06] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
